step	reward	reward_std	mean_length	frac_reward_zero_std	entropy	kl
5	0.1589	0.05502	1362.0	0.0	0.6026	0.0003381
10	0.204	0.02421	846.3	0.6	0.637	0.0006228
15	0.2138	0.05354	588.0	0.4	0.7313	0.0005284
20	0.1915	0.07366	1022.0	0.2	0.5471	0.0004362
25	0.1796	0.06123	992.4	0.2	0.7247	0.0004648
30	0.2165	0.03949	568.5	0.4	0.6067	0.0005228
35	0.2168	0.08735	762.5	0.0	0.7096	0.000552
40	0.1914	0.08829	860.2	0.2	0.7013	0.000509
45	0.1986	0.08801	1123.0	0.0	0.545	0.0004363
50	0.206	0.03435	473.8	0.6	0.6881	0.0005589
55	0.2071	0.03029	403.9	0.4	0.7097	0.0006374
60	0.2194	0.03936	554.7	0.4	0.5843	0.0005568
65	0.1851	0.05546	686.1	0.2	0.6082	0.0005864
70	0.1942	0.05363	663.1	0.2	0.6969	0.0005922
75	0.1627	0.04114	1026.0	0.0	0.8364	0.0005936
80	0.2087	0.04587	604.4	0.4	0.5504	0.0005153
85	0.2267	0.09728	581.6	0.0	0.8499	0.0007246
90	0.1729	0.07117	1202.0	0.2	0.912	0.0006276
95	0.2082	0.09948	768.6	0.0	0.7532	0.0006877
100	0.2233	0.05739	486.4	0.4	0.7947	0.0007202
105	0.1358	0.07697	1812.0	0.0	0.6901	0.0005701
110	0.2011	0.05848	924.4	0.2	0.615	0.0006586
115	0.1991	0.07758	1028.0	0.0	0.6963	0.0005206
120	0.1974	0.05844	998.2	0.4	0.6909	0.0005505
125	0.2278	0.1389	1128.0	0.0	0.9024	0.0008044
130	0.2282	0.09278	757.0	0.0	0.731	0.0008236
135	0.177	0.05266	1303.0	0.4	0.6236	0.0004917
140	0.2372	0.08985	792.1	0.0	0.6002	0.0007406
145	0.2277	0.07042	442.6	0.4	0.5893	0.0009544
150	0.1944	0.06254	820.0	0.2	0.6281	0.0005296
155	0.1972	0.06152	902.2	0.0	0.6828	0.0006694
160	0.1887	0.05704	940.3	0.2	0.8134	0.0006918
165	0.1982	0.04795	833.4	0.0	0.8259	0.0007404
170	0.2172	0.08623	787.1	0.2	0.6119	0.0006109
175	0.2406	0.09273	535.2	0.2	0.6863	0.0008612
180	0.2016	0.08124	827.9	0.2	0.7288	0.000698
185	0.2011	0.09588	884.1	0.0	0.6947	0.0008389
190	0.2213	0.0657	712.5	0.2	0.5784	0.001424
195	0.2015	0.08639	936.3	0.0	0.6906	0.0008687
200	0.1906	0.05606	798.1	0.0	0.5985	0.0007649
