step	reward	reward_std	mean_length	frac_reward_zero_std	entropy	kl
5	0.197	0.1016	827.6	0.5	0.7265	0.0003953
10	0.2143	0.0307	401.5	0.7	0.668	0.0005909
15	0.1989	0.07804	648.6	0.3	0.7477	0.0006241
20	0.2102	0.08673	607.5	0.3	0.8239	0.0005939
25	0.1833	0.06269	884.0	0.3	0.579	0.0004376
30	0.2237	0.06105	584.8	0.5	0.6528	0.0004742
35	0.2118	0.04826	525.2	0.4	0.734	0.0005825
40	0.1817	0.09234	818.4	0.3	0.7677	0.0006224
45	0.1897	0.06279	827.1	0.5	0.8636	0.0006091
50	0.2058	0.06547	597.4	0.6	0.8519	0.000764
55	0.2063	0.05196	644.6	0.5	0.8296	0.0005837
60	0.1844	0.1067	972.2	0.5	0.6267	0.0004599
65	0.1884	0.08537	868.4	0.5	0.7723	0.0005414
70	0.199	0.05136	780.5	0.2	0.5875	0.0004981
75	0.2032	0.0845	754.2	0.5	0.7235	0.0006645
80	0.2094	0.114	718.6	0.2	0.7724	0.000584
85	0.1766	0.0471	821.2	0.3	0.6386	0.0005784
90	0.1946	0.09307	818.5	0.4	0.8117	0.0008458
95	0.2238	0.03768	466.9	0.5	0.8336	0.0006515
100	0.2056	0.09025	556.5	0.2	0.9358	0.000794
105	0.1889	0.1009	896.0	0.4	0.85	0.0006194
110	0.2058	0.06604	562.0	0.4	0.7871	0.000689
115	0.205	0.05058	664.3	0.4	0.5688	0.0004754
120	0.1618	0.05515	927.2	0.2	0.5723	0.0003979
125	0.1939	0.06196	754.7	0.3	0.5378	0.0004635
130	0.2082	0.05729	565.5	0.3	0.6238	0.0005804
135	0.2024	0.1186	690.1	0.2	0.7159	0.0008618
140	0.1734	0.05022	792.8	0.5	0.6547	0.0006871
145	0.1837	0.07504	779.6	0.2	0.7779	0.0006902
150	0.1897	0.0599	685.5	0.2	0.7738	0.0007304
155	0.2324	0.1341	711.2	0.3	0.6492	0.0005784
160	0.2414	0.08334	421.6	0.4	0.6884	0.0007419
165	0.194	0.06827	686.6	0.6	0.818	0.0008806
170	0.2202	0.08363	706.6	0.3	0.7538	0.001245
175	0.2332	0.06222	414.1	0.7	0.609	0.0006879
180	0.2344	0.04796	481.9	0.7	0.6411	0.001061
185	0.2292	0.02287	390.4	0.6	0.55	0.0007598
190	0.2223	0.09845	664.0	0.3	0.6591	0.0009706
195	0.1888	0.0432	598.9	0.6	0.6296	0.0005894
200	0.2063	0.07779	565.5	0.5	0.6446	0.0008159
