step	reward	reward_std	mean_length	frac_reward_zero_std	entropy	kl
5	0.1651	0.08858	1063.0	0.2	0.6409	0.0003531
10	0.1962	0.1186	884.4	0.3	0.7406	0.0005022
15	0.2304	0.05821	502.5	0.6	0.6074	0.0004927
20	0.2104	0.07526	722.4	0.5	0.6863	0.000597
25	0.2006	0.06654	659.0	0.6	0.5819	0.000474
30	0.1905	0.04904	528.9	0.5	0.6267	0.000643
35	0.2283	0.04771	518.3	0.4	0.6188	0.0005783
40	0.2096	0.05132	819.0	0.3	0.7023	0.0005302
45	0.1846	0.05717	735.6	0.4	0.8984	0.0006505
50	0.194	0.06893	665.5	0.5	0.8001	0.0005824
55	0.2057	0.06134	699.2	0.4	0.5536	0.0004788
60	0.2127	0.1143	818.7	0.3	0.785	0.0006224
65	0.2068	0.1049	747.1	0.2	0.8647	0.0006387
70	0.2038	0.05777	637.0	0.5	0.7772	0.0009091
75	0.155	0.05283	865.1	0.3	0.5551	0.0007439
80	0.2074	0.06822	785.0	0.3	0.9001	0.0007802
85	0.2154	0.0815	714.3	0.4	0.6398	0.0008722
90	0.201	0.0495	560.6	0.2	0.9598	0.0008344
95	0.2093	0.05697	469.9	0.5	0.7531	0.00106
100	0.2024	0.03333	508.1	0.6	0.8455	0.001211
105	0.1794	0.06501	922.8	0.1	0.7397	0.0009272
110	0.2002	0.09793	926.7	0.2	0.7795	0.001147
115	0.2098	0.06608	665.9	0.4	0.5747	0.001879
120	0.2138	0.06279	537.9	0.5	0.6082	0.001375
125	0.1821	0.04073	814.4	0.3	0.5926	0.0006705
130	0.2365	0.08181	628.8	0.2	0.7606	0.001415
135	0.2279	0.1073	585.5	0.4	0.7839	0.002026
140	0.2204	0.0548	688.5	0.4	0.7079	0.0007976
145	0.2106	0.06112	522.7	0.4	0.7696	0.00113
150	0.2476	0.05844	424.6	0.3	0.9081	0.001754
155	0.2287	0.08981	662.6	0.2	0.6651	0.001785
160	0.2245	0.07676	682.8	0.3	0.6732	0.002691
165	0.2175	0.03154	448.3	0.6	0.6905	0.001177
170	0.2254	0.06857	637.7	0.3	0.7012	0.001578
175	0.2193	0.06644	569.5	0.4	0.5606	0.002334
180	0.2022	0.06614	576.6	0.4	0.7911	0.002243
185	0.274	0.0573	418.5	0.4	0.6023	0.005655
190	0.2339	0.077	512.9	0.3	0.7075	0.00208
195	0.2225	0.06627	420.4	0.5	0.7203	0.001996
200	0.2269	0.03487	418.6	0.5	0.7477	0.001671
