Model,Params,Avg. F1,GSM8K  (xxx Samples),,,,,,,,MATH-500  (xxx Samples),,,,,,,,OlympiadBench  (xxx Samples),,,,,,,,Omni-MATH  (xxx Samples),,,,,,,,AIME 2024 (xxx Samples),,,,,,,,AIME 2025 (xxx Samples),,,,,,,,CNMO 2024 (xxx Samples),,,,,,,,LiveCode (xxx Samples),,,,,,,
,,,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens
"LLM-as-judge, Proprietary language models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4-0806,,61.9,70.0,91.2,79.2,-,-,-,-,-,54.4,76.6,63.6,-,-,-,-,-,45.8,58.4,51.4,-,-,-,-,-,45.2,65.6,53.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
o1-mini,,87.9,88.9,97.9,93.2,-,-,-,-,-,83.5,95.1,88.9,-,-,-,-,-,80.2,95.6,87.2,-,-,-,-,-,74.8,91.7,82.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"LLM-as-judge, Open-source language models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.3-70B-Instruct,,58.0,72.5,96.9,82.9,-,-,-,-,-,43.3,83.2,59.4,-,-,-,-,-,31.0,94.1,46.7,-,-,-,-,-,28.2,90.5,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen2.5-Math-72B-Instruct,,45.5,49.8,96.9,65.8,-,-,-,-,-,36.0,94.3,52.1,-,-,-,-,-,19.5,97.3,32.5,-,-,-,-,-,19.0,96.3,31.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen2.5-72B-Instruct,,61.2,62.8,96.9,76.2,-,-,-,-,-,46.3,93.1,61.8,-,-,-,-,-,38.7,92.6,54.6,-,-,-,-,-,36.6,90.9,52.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QwQ-32B-Preview,,71.5,81.6,95.3,88.0,-,-,-,-,-,78.1,79.3,78.7,-,-,-,-,-,61.4,54.6,57.8,-,-,-,-,-,55.7,68.0,61.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PRMs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
