model,benchmark,n_items,pass@1,pass@5,maj@5,avg_tokens,acc_per_kTok,token_ratio_vs_teacher
base_4b_v3,olympiadbench,134,9.7,26.9,11.2,2560,3.8,1.04
base_9b_v3,olympiadbench,134,11.2,25.4,14.2,2560,4.4,1.04
base_9b_v3,omni_math,262,16.4,33.2,17.9,2559,6.4,1.04
base_9b_v3,aime2024,30,0.0,6.7,0.0,2560,0.0,1.00
no_topo_9b_v3,gsm8k,1319,93.0,97.7,93.9,946,98.3,-
no_topo_9b_v3,math500,500,51.0,59.4,55.6,1506,33.9,-
no_topo_9b_v3,olympiadbench,134,29.8,50.7,38.1,2468,12.1,1.00
no_topo_9b_v3,omni_math,262,42.4,54.2,45.8,2430,17.4,0.99
no_topo_9b_v3,aime2024,30,20.0,40.0,30.0,2560,7.8,1.00
no_topo_9b_v3,aime2025,90,12.2,16.7,10.0,2560,4.8,1.00
no_topo_9b_v3,cnmo2024,30,20.0,40.0,26.7,2560,7.8,1.00
outcome_only_9b_v3,olympiadbench,134,31.3,46.3,37.3,2043,15.3,0.83
outcome_only_9b_v3,omni_math,262,41.6,55.3,48.9,1845,22.5,0.75
outcome_only_9b_v3,aime2024,30,16.7,33.3,20.0,2546,6.5,0.99
outcome_only_9b_v3,aime2025,90,13.3,15.6,8.9,2547,5.2,0.99
outcome_only_9b_v3,cnmo2024,30,16.7,33.3,26.7,2530,6.6,0.99
sft_9b_v3,olympiadbench,134,32.8,46.3,38.1,1768,18.6,0.72
sft_9b_v3,omni_math,262,42.4,53.0,47.7,1592,26.6,0.65
sft_9b_v3,aime2024,30,30.0,43.3,33.3,2431,12.3,0.95
sft_9b_v3,aime2025,90,15.6,18.9,11.1,2457,6.3,0.96
sft_9b_v3,cnmo2024,30,30.0,40.0,30.0,2471,12.1,0.97
student_4b_sft_distill_v3,gsm8k,1319,90.5,96.1,91.0,1377,65.7,-
student_4b_sft_distill_v3,math500,500,38.2,52.8,43.8,1534,24.9,-
student_4b_sft_distill_v3,olympiadbench,134,21.6,34.3,27.6,2560,8.5,1.04
student_4b_sft_distill_v3,omni_math,262,34.4,47.7,39.3,2542,13.5,1.03
student_4b_sft_distill_v3,aime2024,30,6.7,13.3,6.7,2560,2.6,1.00
student_4b_sft_distill_v3,aime2025,90,6.7,13.3,8.9,2560,2.6,1.00
student_4b_sft_distill_v3,cnmo2024,30,6.7,20.0,10.0,2560,2.6,1.00
topoprm_gated_9b_v3,olympiadbench,134,32.8,47.0,35.8,2491,13.2,1.01
topoprm_gated_9b_v3,omni_math,262,42.0,53.8,47.3,2463,17.0,1.00
topoprm_gated_9b_v3,aime2024,30,20.0,30.0,23.3,2560,7.8,1.00
topoprm_gated_9b_v3,aime2025,90,13.3,17.8,12.2,2560,5.2,1.00
topoprm_gated_9b_v3,cnmo2024,30,20.0,30.0,26.7,2560,7.8,1.00
topoprm_gated_9b_v3,mmlu,1500,61.1,83.1,61.2,508,120.2,1.00
topoprm_hier_9b_v3,olympiadbench,134,32.8,47.0,38.8,2468,13.3,1.00
topoprm_hier_9b_v3,omni_math,262,42.8,55.7,47.7,2465,17.3,1.00
topoprm_hier_9b_v3,aime2024,30,26.7,43.3,30.0,2560,10.4,1.00
topoprm_hier_9b_v3,aime2025,90,12.2,15.6,11.1,2560,4.8,1.00
topoprm_hier_9b_v3,cnmo2024,30,26.7,36.7,30.0,2560,10.4,1.00
topoprm_hier_9b_v3,mmlu,1500,61.8,81.9,60.8,508,121.6,1.00
topoprm_hier_qwen25_7b_v3,gsm8k,1319,86.9,95.8,89.2,231,376.6,-
topoprm_hier_qwen25_7b_v3,math500,500,42.6,54.4,47.0,462,92.3,-
topoprm_hier_qwen25_7b_v3,olympiadbench,134,20.2,36.6,23.1,620,32.5,0.25
topoprm_hier_qwen25_7b_v3,omni_math,262,30.9,44.7,33.6,567,54.6,0.23
topoprm_hier_qwen25_7b_v3,aime2024,30,6.7,10.0,6.7,770,8.7,0.30
topoprm_hier_qwen25_7b_v3,aime2025,90,7.8,10.0,6.7,698,11.1,0.27
topoprm_hier_qwen25_7b_v3,cnmo2024,30,6.7,10.0,6.7,711,9.4,0.28
topoprm_hier_qwen25_7b_v3,mmlu,1500,62.9,82.7,64.8,322,195.1,0.63
