Model,Params,Avg,GSM8K,MATH-500,OlympiadBench,Omni-MATH,AIME 2024,AIME 2025,CNMO 2024,MMLU,GPQA-D
Qwen3.5-9B (base),9B,34.2,91.0^p1,55.0^p1,25.4^p5,33.2^p5,6.7^p5,4.4^p5,16.7^p5,41.4^p5,-
"Qwen3.5-9B (base, v3)",9B,31.8,87.8^p5,39.2^p5,25.4^p5,33.2^p5,6.7^p5,4.4^p5,16.7^p5,41.4^p5,-
+ SFT,9B,53.6,87.9^p1,53.0^p1,46.3^p5,53.0^p5,43.3^p5,18.9^p5,40.0^p5,86.4^p5,-
+ SFT (v2 chat),9B,47.0,96.6^m5,50.8^p1,45.5^p5,52.7^p5,36.7^p5,13.3^p5,33.3^p5,-,-
+ SFT (v3),9B,55.8,97.7^p5,60.4^p5,46.3^p5,53.0^p5,43.3^p5,18.9^p5,40.0^p5,86.4^p5,-
+ GRPO (TopoPRM hierarchical),9B,50.8,87.7^p1,53.4^p1,48.5^p5,53.8^p5,30.0^p5,14.4^p5,36.7^p5,81.9^p5,-
+ GRPO (TopoPRM hierarchical v2),9B,45.4,94.4^m5,49.8^p1,43.3^p5,50.4^p5,33.3^p5,16.7^p5,30.0^p5,-,-
+ GRPO (TopoPRM hierarchical v3),9B,54.6,97.9^p5,59.0^p5,47.0^p5,55.7^p5,43.3^p5,15.6^p5,36.7^p5,81.9^p5,-
+ GRPO (TopoPRM gated),9B,50.6,87.8^p1,55.4^p1,47.0^p5,53.8^p5,30.0^p5,17.8^p5,30.0^p5,83.1^p5,-
+ GRPO (TopoPRM gated v2),9B,41.6,93.8^p1,50.8^p1,44.0^p5,48.1^p5,26.7^p5,11.1^p5,16.7^p5,-,-
+ GRPO (TopoPRM gated v3),9B,52.4,98.0^p5,59.8^p5,47.0^p5,53.8^p5,30.0^p5,17.8^p5,30.0^p5,83.1^p5,-
+ GRPO (outcome-only),9B,46.6,88.3^p1,54.4^p1,46.3^p5,55.3^p5,33.3^p5,15.6^p5,33.3^p5,-,-
+ GRPO (w/o topology),9B,53.7,88.7^p1,54.2^p1,50.7^p5,54.2^p5,40.0^p5,16.7^p5,40.0^p5,85.0^p5,-
+ GRPO (w/o continuity),9B,34.3,90.9^p1,55.0^p1,25.4^p5,30.5^p5,13.3^p5,4.4^p5,20.0^p5,34.8^p5,-
Qwen2.5-7B (base),7B,69.7,84.2^p1,55.2^p1,-,-,-,-,-,-,-
+ TopoPRM (Qwen2.5-7B),7B,61.3,83.8^p1,38.8^p1,-,-,-,-,-,-,-
+ TopoPRM (Qwen2.5-7B v3),7B,43.9,95.8^p5,54.4^p5,36.6^p5,44.7^p5,10.0^p5,10.0^p5,10.0^p5,82.7^p5,51.0^p5
"Student (8B, RKL legacy)",8B,63.2,81.0^p1,45.4^p1,-,-,-,-,-,-,-
"Qwen3.5-4B (base, v3)",4B,26.2,81.7^p5,-,26.9^p5,36.3^p5,3.3^p5,2.2^p5,6.7^p5,-,-
"Student (Qwen3.5-4B, SFT distill v3)",4B,42.3,96.1^p5,52.8^p5,34.3^p5,47.7^p5,13.3^p5,13.3^p5,20.0^p5,60.6^p5,-
