Model,Params,Avg. F1,GSM8K,,,,,,,,MATH-500,,,,,,,,OlympiadBench,,,,,,,,Omni-MATH,,,,,,,,AIME 2024,,,,,,,,AIME 2025,,,,,,,,CNMO 2024,,,,,,,,MMLU,,,,,,,,GPQA-D,,,,,,,
,,,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens
Qwen3.5-9B (base),9B,38.3,119,1200,100.0,91.0,0.0,0.0,91.0,1017,225,275,100.0,55.0,0.0,0.0,55.0,2048,119,15,11.2,11.2,25.4,14.2,11.2,2560,219,43,16.4,16.4,33.2,17.9,16.4,2559,30,0,0.0,0.0,6.7,0.0,0.0,2560,88,2,2.2,2.2,4.4,1.1,2.2,2560,27,3,10.0,10.0,16.7,3.3,10.0,2560,357,143,28.6,28.6,41.4,26.2,28.6,512,-,-,-,-,-,-,-,-
"Qwen3.5-9B (base, v3)",9B,20.5,591,728,55.2,55.2,87.8,55.7,55.2,1536,401,99,19.8,19.8,39.2,21.4,19.8,1536,119,15,11.2,11.2,25.4,14.2,11.2,2560,219,43,16.4,16.4,33.2,17.9,16.4,2559,30,0,0.0,0.0,6.7,0.0,0.0,2560,88,2,2.2,2.2,4.4,1.1,2.2,2560,27,3,10.0,10.0,16.7,3.3,10.0,2560,357,143,28.6,28.6,41.4,26.2,28.6,512,-,-,-,-,-,-,-,-
+ SFT,9B,52.4,159,1160,100.0,87.9,0.0,0.0,87.9,275,235,265,100.0,53.0,0.0,0.0,53.0,1950,90,44,32.8,32.8,46.3,38.1,32.1,1767,151,111,42.4,42.4,53.0,47.7,42.4,1592,21,9,30.0,30.0,43.3,33.3,30.0,2431,76,14,15.6,15.6,18.9,11.1,15.6,2456,21,9,30.0,30.0,40.0,30.0,30.0,2470,159,341,68.2,68.2,86.4,68.8,68.2,512,-,-,-,-,-,-,-,-
+ SFT (v2 chat),9B,39.8,6,170,96.6,96.6,96.6,96.6,96.6,275,246,254,50.8,50.8,50.8,48.6,50.8,1422,91,43,32.1,32.1,45.5,37.3,32.1,1315,156,106,40.5,40.5,52.7,45.8,40.5,1215,23,7,23.3,23.3,36.7,23.3,23.3,1531,79,11,12.2,12.2,13.3,7.8,12.2,1521,23,7,23.3,23.3,33.3,23.3,23.3,1532,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ SFT (v3),9B,45.5,78,1241,94.1,94.1,97.7,94.8,93.1,796,246,254,50.8,50.8,60.4,54.6,50.8,1454,90,44,32.8,32.8,46.3,38.1,32.1,1767,151,111,42.4,42.4,53.0,47.7,42.4,1592,21,9,30.0,30.0,43.3,33.3,30.0,2431,76,14,15.6,15.6,18.9,11.1,15.6,2456,21,9,30.0,30.0,40.0,30.0,30.0,2470,159,341,68.2,68.2,86.4,68.8,68.2,512,-,-,-,-,-,-,-,-
+ GRPO (TopoPRM hierarchical),9B,48.2,162,1157,100.0,87.7,0.0,0.0,87.7,277,233,267,100.0,53.4,0.0,0.0,53.4,2032,89,45,33.6,33.6,48.5,38.8,33.6,2532,157,105,40.1,40.1,53.8,46.6,38.9,2472,24,6,20.0,20.0,30.0,26.7,20.0,2560,81,9,10.0,10.0,14.4,6.7,10.0,2560,24,6,20.0,20.0,36.7,26.7,20.0,2560,573,927,61.8,61.8,81.9,60.8,61.8,508,-,-,-,-,-,-,-,-
+ GRPO (TopoPRM hierarchical v2),9B,36.2,5,67,94.4,94.4,94.4,94.4,94.4,277,251,249,49.8,49.8,49.8,48.6,49.8,1501,90,44,32.8,32.8,43.3,35.1,32.8,1419,153,109,41.6,41.6,50.4,44.7,41.2,1313,26,4,13.3,13.3,33.3,13.3,13.3,1531,83,7,7.8,7.8,16.7,7.8,7.8,1535,26,4,13.3,13.3,30.0,16.7,13.3,1536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ GRPO (TopoPRM hierarchical v3),9B,43.3,86,1233,93.5,93.5,97.9,94.2,92.1,1025,251,249,49.8,49.8,59.0,54.2,49.6,1506,90,44,32.8,32.8,47.0,38.8,32.8,2468,150,112,42.8,42.8,55.7,47.7,42.8,2465,22,8,26.7,26.7,43.3,30.0,26.7,2560,79,11,12.2,12.2,15.6,11.1,12.2,2560,22,8,26.7,26.7,36.7,30.0,26.7,2560,573,927,61.8,61.8,81.9,60.8,61.8,508,-,-,-,-,-,-,-,-
+ GRPO (TopoPRM gated),9B,48.7,161,1158,100.0,87.8,0.0,0.0,87.8,302,223,277,100.0,55.4,0.0,0.0,55.4,2026,90,44,32.8,32.8,47.0,35.8,32.8,2491,152,110,42.0,42.0,53.8,47.3,42.0,2463,24,6,20.0,20.0,30.0,23.3,20.0,2560,78,12,13.3,13.3,17.8,12.2,13.3,2560,24,6,20.0,20.0,30.0,26.7,20.0,2560,584,916,61.1,61.1,83.1,61.2,60.9,508,-,-,-,-,-,-,-,-
+ GRPO (TopoPRM gated v2),9B,34.7,82,1237,93.8,93.8,93.8,93.0,93.8,681,246,254,50.8,50.8,50.8,50.0,50.8,1495,91,43,32.1,32.1,44.0,36.6,32.1,1398,162,100,38.2,38.2,48.1,43.1,38.2,1338,27,3,10.0,10.0,26.7,13.3,10.0,1536,83,7,7.8,7.8,11.1,7.8,7.8,1535,27,3,10.0,10.0,16.7,13.3,10.0,1535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
