Model,Params,Avg. F1,GSM8K,,,,,,,,MATH-500,,,,,,,,OlympiadBench,,,,,,,,Omni-MATH,,,,,,,,AIME 2024,,,,,,,,AIME 2025,,,,,,,,CNMO 2024,,,,,,,,LiveCode,,,,,,,,MMLU,,,,,,,,GPQA-D,,,,,,,
,,,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens,error,correct,F1,pass@1,pass@k,maj@k,prm@k,#Tokens
Qwen3.5-9B (base),9B,100.0,119,1200,100.0,91.0,0.0,0.0,91.0,1017,225,275,100.0,55.0,0.0,0.0,55.0,2048,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ SFT,9B,100.0,159,1160,100.0,87.9,0.0,0.0,87.9,275,235,265,100.0,53.0,0.0,0.0,53.0,1950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ GRPO (TopoPRM hierarchical),9B,100.0,162,1157,100.0,87.7,0.0,0.0,87.7,277,233,267,100.0,53.4,0.0,0.0,53.4,2032,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ GRPO (TopoPRM gated),9B,100.0,161,1158,100.0,87.8,0.0,0.0,87.8,302,223,277,100.0,55.4,0.0,0.0,55.4,2026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ GRPO (outcome-only),9B,100.0,154,1165,100.0,88.3,0.0,0.0,88.3,287,228,272,100.0,54.4,0.0,0.0,54.4,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ GRPO (w/o topology),9B,100.0,149,1170,100.0,88.7,0.0,0.0,88.7,305,229,271,100.0,54.2,0.0,0.0,54.2,2034,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ GRPO (w/o continuity),9B,100.0,120,1199,100.0,90.9,0.0,0.0,90.9,1006,225,275,100.0,55.0,0.0,0.0,55.0,2048,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qwen2.5-7B (base),7B,100.0,209,1110,100.0,84.2,0.0,0.0,84.2,1917,224,276,100.0,55.2,0.0,0.0,55.2,1846,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
+ TopoPRM (Qwen2.5-7B),7B,100.0,214,1105,100.0,83.8,0.0,0.0,83.8,1752,306,194,100.0,38.8,0.0,0.0,38.8,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Student (8B, RKL legacy)",8B,100.0,250,1069,100.0,81.0,0.0,0.0,81.0,2048,273,227,100.0,45.4,0.0,0.0,45.4,2048,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
