`torch_dtype` is deprecated! Use `dtype` instead!
Loading model: /Knowin/foundation/weilinruan/hf_models/Qwen/Qwen2.5-7B-Instruct
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights:   0%|          | 1/339 [00:01<11:11,  1.99s/it]Loading weights:   1%|          | 2/339 [00:04<11:32,  2.05s/it]Loading weights:   1%|          | 4/339 [00:04<04:44,  1.18it/s]Loading weights:   1%|▏         | 5/339 [00:04<03:39,  1.52it/s]Loading weights:   2%|▏         | 6/339 [00:04<02:55,  1.90it/s]Loading weights:   4%|▎         | 12/339 [00:04<00:51,  6.33it/s]Loading weights:   5%|▍         | 16/339 [00:05<00:39,  8.26it/s]Loading weights:   5%|▌         | 18/339 [00:05<00:49,  6.51it/s]Loading weights:   7%|▋         | 23/339 [00:05<00:29, 10.61it/s]Loading weights:   8%|▊         | 28/339 [00:06<00:33,  9.32it/s]Loading weights:   9%|▉         | 30/339 [00:06<00:33,  9.29it/s]Loading weights:  11%|█         | 36/339 [00:06<00:20, 14.71it/s]Loading weights:  12%|█▏        | 40/339 [00:07<00:20, 14.90it/s]Loading weights:  13%|█▎        | 43/339 [00:07<00:27, 10.81it/s]Loading weights:  14%|█▍        | 48/339 [00:07<00:19, 14.98it/s]Loading weights:  15%|█▌        | 52/339 [00:08<00:20, 13.68it/s]Loading weights:  16%|█▌        | 55/339 [00:08<00:20, 13.83it/s]Loading weights:  18%|█▊        | 60/339 [00:08<00:15, 18.55it/s]Loading weights:  19%|█▉        | 64/339 [00:08<00:23, 11.88it/s]Loading weights:  20%|█▉        | 67/339 [00:09<00:22, 12.21it/s]Loading weights:  21%|██        | 72/339 [00:09<00:16, 16.62it/s]Loading weights:  22%|██▏       | 76/339 [00:09<00:20, 12.62it/s]Loading weights:  23%|██▎       | 79/339 [00:10<00:20, 12.48it/s]Loading weights:  25%|██▍       | 84/339 [00:10<00:15, 16.98it/s]Loading weights:  26%|██▌       | 88/339 [00:10<00:14, 17.10it/s]Loading weights:  27%|██▋       | 91/339 [00:10<00:22, 10.87it/s]Loading weights:  29%|██▉       | 100/339 [00:11<00:15, 15.84it/s]Loading weights:  30%|███       | 103/339 [00:11<00:20, 11.76it/s]Loading weights:  32%|███▏      | 107/339 [00:11<00:16, 14.36it/s]Loading weights:  33%|███▎      | 112/339 [00:12<00:14, 15.36it/s]Loading weights:  34%|███▍      | 115/339 [00:12<00:19, 11.31it/s]Loading weights:  35%|███▌      | 120/339 [00:12<00:14, 15.32it/s]Loading weights:  37%|███▋      | 124/339 [00:13<00:17, 11.97it/s]Loading weights:  37%|███▋      | 127/339 [00:13<00:17, 11.95it/s]Loading weights:  39%|███▉      | 132/339 [00:13<00:12, 16.14it/s]Loading weights:  40%|████      | 136/339 [00:14<00:15, 12.71it/s]Loading weights:  41%|████      | 139/339 [00:14<00:16, 11.77it/s]Loading weights:  42%|████▏     | 144/339 [00:14<00:12, 16.03it/s]Loading weights:  44%|████▎     | 148/339 [00:15<00:13, 13.76it/s]Loading weights:  45%|████▍     | 151/339 [00:15<00:15, 11.97it/s]Loading weights:  46%|████▌     | 156/339 [00:15<00:11, 16.48it/s]Loading weights:  47%|████▋     | 160/339 [00:15<00:10, 16.70it/s]Loading weights:  48%|████▊     | 163/339 [00:16<00:15, 11.65it/s]Loading weights:  50%|████▉     | 168/339 [00:16<00:10, 16.12it/s]Loading weights:  51%|█████     | 172/339 [00:16<00:14, 11.36it/s]Loading weights:  53%|█████▎    | 178/339 [00:17<00:10, 15.87it/s]Loading weights:  54%|█████▍    | 184/339 [00:17<00:09, 16.83it/s]Loading weights:  55%|█████▌    | 187/339 [00:17<00:11, 13.78it/s]Loading weights:  57%|█████▋    | 192/339 [00:17<00:08, 17.78it/s]Loading weights:  58%|█████▊    | 196/339 [00:18<00:11, 12.91it/s]Loading weights:  59%|█████▊    | 199/339 [00:18<00:12, 11.48it/s]Loading weights:  61%|██████▏   | 208/339 [00:19<00:08, 16.15it/s]Loading weights:  62%|██████▏   | 211/339 [00:19<00:10, 11.93it/s]Loading weights:  64%|██████▎   | 216/339 [00:19<00:07, 15.49it/s]Loading weights:  65%|██████▍   | 220/339 [00:20<00:08, 14.03it/s]Loading weights:  66%|██████▌   | 223/339 [00:20<00:08, 14.02it/s]Loading weights:  67%|██████▋   | 228/339 [00:20<00:06, 18.35it/s]Loading weights:  68%|██████▊   | 232/339 [00:20<00:07, 13.93it/s]Loading weights:  69%|██████▉   | 235/339 [00:21<00:07, 13.87it/s]Loading weights:  71%|███████   | 240/339 [00:21<00:05, 18.46it/s]Loading weights:  72%|███████▏  | 244/339 [00:21<00:06, 14.01it/s]Loading weights:  73%|███████▎  | 247/339 [00:21<00:06, 15.30it/s]Loading weights:  74%|███████▍  | 251/339 [00:21<00:04, 18.61it/s]Loading weights:  75%|███████▌  | 255/339 [00:22<00:05, 14.93it/s]Loading weights:  76%|███████▌  | 258/339 [00:22<00:06, 13.32it/s]Loading weights:  79%|███████▉  | 268/339 [00:22<00:03, 18.22it/s]Loading weights:  80%|███████▉  | 271/339 [00:23<00:05, 13.08it/s]Loading weights:  81%|████████▏ | 276/339 [00:23<00:03, 16.89it/s]Loading weights:  83%|████████▎ | 280/339 [00:23<00:03, 16.88it/s]Loading weights:  83%|████████▎ | 283/339 [00:24<00:03, 15.98it/s]Loading weights:  86%|████████▌ | 292/339 [00:24<00:02, 21.29it/s]Loading weights:  87%|████████▋ | 295/339 [00:24<00:02, 15.42it/s]Loading weights:  90%|████████▉ | 304/339 [00:25<00:02, 13.50it/s]Loading weights:  90%|█████████ | 306/339 [00:25<00:02, 12.43it/s]Loading weights:  93%|█████████▎| 316/339 [00:26<00:01, 17.71it/s]Loading weights:  94%|█████████▍| 319/339 [00:26<00:01, 13.13it/s]Loading weights:  96%|█████████▌| 326/339 [00:26<00:00, 18.38it/s]Loading weights:  97%|█████████▋| 330/339 [00:27<00:00, 12.45it/s]Loading weights:  99%|█████████▉| 336/339 [00:27<00:00, 16.69it/s]Loading weights: 100%|██████████| 339/339 [00:27<00:00, 12.34it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading adapter: output/hf_ckpts/opd_qwen25_7b_stage3_ckpt200

============================================================
Benchmark: math500 | Label: topoprm_q25_7b | chat=True sft_style=False fewshot=False k=5
============================================================
  [4/500] acc=100.0%
  [8/500] acc=87.5%
  [12/500] acc=75.0%
  [16/500] acc=75.0%
  [20/500] acc=70.0%
  [24/500] acc=58.3%
  [28/500] acc=57.1%
  [32/500] acc=59.4%
  [36/500] acc=61.1%
  [40/500] acc=62.5%
  [44/500] acc=61.4%
  [48/500] acc=64.6%
  [52/500] acc=67.3%
  [56/500] acc=69.6%
  [60/500] acc=71.7%
  [64/500] acc=68.8%
  [68/500] acc=67.6%
  [72/500] acc=68.1%
  [76/500] acc=68.4%
  [80/500] acc=70.0%
  [84/500] acc=70.2%
  [88/500] acc=71.6%
  [92/500] acc=71.7%
  [96/500] acc=71.9%
  [100/500] acc=70.0%
  [104/500] acc=67.3%
  [108/500] acc=66.7%
  [112/500] acc=65.2%
  [116/500] acc=65.5%
  [120/500] acc=65.8%
  [124/500] acc=66.1%
  [128/500] acc=65.6%
  [132/500] acc=65.2%
  [136/500] acc=66.2%
  [140/500] acc=65.7%
  [144/500] acc=66.0%
  [148/500] acc=65.5%
  [152/500] acc=65.1%
  [156/500] acc=64.7%
  [160/500] acc=63.7%
  [164/500] acc=64.0%
  [168/500] acc=63.7%
  [172/500] acc=63.4%
  [176/500] acc=64.2%
  [180/500] acc=63.9%
  [184/500] acc=63.6%
  [188/500] acc=63.8%
  [192/500] acc=63.5%
  [196/500] acc=63.3%
  [200/500] acc=63.5%
  [204/500] acc=64.2%
  [208/500] acc=64.4%
  [212/500] acc=65.1%
  [216/500] acc=65.3%
  [220/500] acc=65.0%
  [224/500] acc=64.7%
  [228/500] acc=65.4%
  [232/500] acc=65.5%
  [236/500] acc=64.8%
  [240/500] acc=64.2%
  [244/500] acc=63.9%
  [248/500] acc=64.1%
  [252/500] acc=63.9%
  [256/500] acc=64.5%
  [260/500] acc=64.6%
  [264/500] acc=64.4%
  [268/500] acc=63.8%
  [272/500] acc=64.3%
  [276/500] acc=64.5%
  [280/500] acc=64.6%
  [284/500] acc=64.8%
  [288/500] acc=63.9%
  [292/500] acc=64.4%
  [296/500] acc=63.9%
  [300/500] acc=64.0%
  [304/500] acc=63.5%
  [308/500] acc=63.3%
  [312/500] acc=63.5%
  [316/500] acc=63.9%
  [320/500] acc=64.1%
  [324/500] acc=64.5%
  [328/500] acc=64.6%
  [332/500] acc=64.5%
  [336/500] acc=64.6%
  [340/500] acc=65.0%
  [344/500] acc=65.4%
  [348/500] acc=65.5%
  [352/500] acc=65.1%
  [356/500] acc=64.9%
  [360/500] acc=65.3%
  [364/500] acc=65.1%
  [368/500] acc=65.2%
  [372/500] acc=65.1%
  [376/500] acc=65.2%
  [380/500] acc=65.5%
  [384/500] acc=65.4%
  [388/500] acc=65.7%
  [392/500] acc=65.8%
  [396/500] acc=65.7%
  [400/500] acc=65.8%
  [404/500] acc=65.6%
  [408/500] acc=65.9%
  [412/500] acc=65.8%
  [416/500] acc=65.9%
  [420/500] acc=66.0%
  [424/500] acc=65.6%
  [428/500] acc=65.7%
  [432/500] acc=65.7%
  [436/500] acc=65.8%
  [440/500] acc=66.1%
  [444/500] acc=66.4%
  [448/500] acc=66.3%
  [452/500] acc=66.4%
  [456/500] acc=66.7%
  [460/500] acc=66.5%
  [464/500] acc=66.6%
  [468/500] acc=66.5%
  [472/500] acc=66.7%
  [476/500] acc=66.6%
  [480/500] acc=66.7%
  [484/500] acc=66.5%
  [488/500] acc=66.8%
  [492/500] acc=66.5%
  [496/500] acc=66.7%
  [500/500] acc=66.8%

  math500: pass@1=66.8% pass@5=72.6% maj@5=66.8% prm@5=66.8% tok=896 in 21654s
  Saved: results/topoprm_q25_7b/topoprm_q25_7b_math500_metrics.json

Done.
