rel_path	size_bytes	mtime_iso	n_pass1	n_saved	reason
grpo_7b_alpha09.log	1133	2026-04-24T19:15:53	0	0	non-eval log, 1 KB
grpo_hier_continue.log	261112	2026-04-23T17:50:53	0	0	non-eval log, 254 KB, contains traceback
phase1_dag_build.log	2988	2026-05-01T00:35:46	0	0	non-eval log, 2 KB
phase2_download.log	594	2026-05-01T00:37:14	0	0	non-eval log, 0 KB
phase3_sft.log	359712	2026-05-07T20:51:41	0	0	non-eval log, 351 KB
rerun_unified_v3_top.log	94	2026-04-20T18:27:00	0	0	non-eval log, 0 KB
v3b_gpu0_b.log	1320	2026-04-27T17:16:44	0	0	non-eval log, 1 KB
v3b_gpu1_b.log	1039	2026-04-25T01:25:33	0	0	non-eval log, 1 KB
v3b_gpu3.log	920	2026-04-25T01:24:24	0	0	non-eval log, 0 KB
v3b_gpu4_d.log	515	2026-04-26T02:07:44	0	0	non-eval log, 0 KB
