step	reward	reward_std	mean_length	frac_reward_zero_std	entropy	kl
5	0.1258	0.08281	858.2	0.2	0.7558	0.0004919
10	0.1465	0.0337	464.4	0.6	0.6064	0.0005266
15	0.1515	0.03742	502.9	0.4	0.603	0.0005387
20	0.1246	0.05916	702.2	0.3	0.6172	0.0004765
25	0.1292	0.06805	656.4	0.3	0.7654	0.0005417
30	0.1324	0.04061	790.3	0.6	0.6548	0.0004738
35	0.1351	0.05897	631.6	0.3	0.6024	0.000479
40	0.1541	0.04597	655.4	0.4	0.5704	0.000526
45	0.1205	0.06019	795.5	0.3	0.817	0.0006453
50	0.1345	0.07847	613.7	0.2	0.7825	0.0007036
55	0.1312	0.06354	873.8	0.5	0.6411	0.0007347
60	0.1323	0.05678	757.1	0.2	0.5934	0.0005106
65	0.1329	0.0618	769.6	0.5	0.8035	0.0006894
70	0.1407	0.0685	747.2	0.5	0.6649	0.001003
75	0.1335	0.0714	762.6	0.3	0.6339	0.0007887
80	0.1088	0.04939	898.9	0.2	0.653	0.0009705
85	0.1435	0.05141	690.3	0.4	0.6483	0.0008187
90	0.1558	0.05803	580.2	0.4	0.7314	0.0008655
95	0.146	0.03594	536.1	0.5	0.5802	0.0005853
100	0.1609	0.04355	568.2	0.2	0.8033	0.0009908
105	0.1031	0.06529	1130.0	0.0	0.7483	0.0006609
110	0.1426	0.04889	623.5	0.3	0.5973	0.001409
115	0.1353	0.08413	755.3	0.2	0.5896	0.001472
120	0.1332	0.05146	643.2	0.4	0.6053	0.001197
125	0.1295	0.06424	814.0	0.5	0.6994	0.001777
130	0.1655	0.04071	420.4	0.3	0.6988	0.001178
135	0.1316	0.0852	823.3	0.1	0.9443	0.001952
140	0.1298	0.06221	787.9	0.1	0.8081	0.002617
145	0.1275	0.06491	730.9	0.7	0.6339	0.002517
150	0.1544	0.06604	654.3	0.3	1.005	0.001312
155	0.138	0.07224	860.5	0.1	0.6297	0.001063
160	0.1508	0.0431	540.6	0.4	0.6898	0.00285
165	0.1702	0.03856	611.5	0.4	0.7282	0.002225
170	0.1416	0.06622	725.9	0.3	0.5959	0.001699
175	0.1508	0.0315	386.1	0.6	0.6597	0.001286
180	0.1679	0.03675	400.8	0.5	0.8632	0.002674
185	0.1754	0.06211	592.5	0.2	0.7128	0.00186
190	0.1514	0.03592	426.6	0.7	0.7347	0.0038
195	0.1572	0.04188	448.3	0.5	0.8372	0.00269
200	0.1375	0.05747	612.1	0.3	0.804	0.001363
